Title,Type,Num Bids,Current Bid,Buy Price,End Date,Link
ZOTAC GeForce 1060 GTX mit 6GB GDDR5,auction,36,81.25,,2020-11-21 20:30:00,https://www.ricardo.ch/de/a/zotac-geforce-1060-gtx-mit-6gb-gddr5-1144538512/
Palit nvidia GeForce GTX 580 3GB,hybrid,0,30.0,100.0,2020-11-20 21:02:00,https://www.ricardo.ch/de/a/palit-nvidia-geforce-gtx-580-3gb-1144435366/
Sapphire HD 7970 GHz Edition Toxic 6 GB,auction,,,,2020-11-19 20:13:00,https://www.ricardo.ch/de/a/sapphire-hd-7970-ghz-edition-toxic-6-gb-1144377832/
verteiler 4 Pin Molex 6 Pin PCI-Express,direct,,,3.95,2020-11-22 22:00:00,https://www.ricardo.ch/de/a/verteiler-4-pin-molex-6-pin-pci-express-1144710354/
ZOTAC GeForce RTX 2080 Ti AMP Extreme,auction,0,700.0,,2020-11-24 16:05:00,https://www.ricardo.ch/de/a/zotac-geforce-rtx-2080-ti-amp-extreme-1143847712/
Sapphire Radeon RX 570 ITX Pulse 4GB,hybrid,0,85.0,110.0,2020-11-22 20:35:00,https://www.ricardo.ch/de/a/sapphire-radeon-rx-570-itx-pulse-4gb-1144718642/
SAPPHIRE Radeon RX 570 (8GB),auction,6,102.0,,2020-11-20 19:14:00,https://www.ricardo.ch/de/a/sapphire-radeon-rx-570-(8gb)-1144729466/
NVIDIA Quadro K2200 / 4GB,hybrid,0,89.0,99.0,2020-11-20 12:38:00,https://www.ricardo.ch/de/a/nvidia-quadro-k2200-4gb-1144773000/
"ASUS GeForce GTX 760, 2GB GDDR5",hybrid,7,10.0,49.0,2020-11-19 20:00:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-760-2gb-gddr5-1144758556/
MSI GeForce RTX 2070 Gaming Z,auction,6,306.0,,2020-11-22 20:01:00,https://www.ricardo.ch/de/a/msi-geforce-rtx-2070-gaming-z-1144713034/
